,0
217,돈암동 636
218,전포동 181-1
219,신정동 312
220,엄궁동 726
221,좌동 1439
222,불광동 248
223,금곡동 1898
224,대연동 1808
225,부전동 537-9
226,좌동 1331
227,방화동 839
228,금곡동 1112-2
229,거제동 1479
230,상계동 1255
231,신정동 326
232,상월곡동 101
233,성내동 590
234,대방동 501
235,서초동 1685
236,구의동 611
237,정관읍 용수리 1387
238,금호동4가 800
239,부곡동 63-11
240,부암동 735
241,좌동 1438
242,하계동 274
243,길음동 1284
244,신정동 325
245,정관읍 용수리 1322
246,하월곡동 225
247,대치동 511
248,거여동 290
249,길음동 1279
250,목동 929
251,공릉동 725
252,길동 160
253,상계동 1256
254,학장동 574-82
255,개포동 185
256,주례동 10-4
257,좌동 1298
258,좌동 1278
259,화명동 295
260,대흥동 660
261,황학동 2545
262,미아동 1357
263,행당동 349
264,거제동 1468-1
265,당감동 807-4
266,목동 901
267,남천동 148-22
268,이문동 225
269,도원동 23
270,명지동 3244
271,개봉동 478
272,주례동 3-16
273,좌동 1300
274,창동 45
275,재송동 1197
276,상도동 521
277,옥수동 250
278,대림동 608-1
279,온천동 707
280,번동 242
281,종암동 104-1
282,하계동 354
283,덕천동 814-4
284,범천동 1054
285,명지동 3231
286,당감동 797
287,좌동 1419
288,엄궁동 683-3
289,창동 807
290,광장동 577
291,남가좌동 377
292,남천동 151
293,신평동 400
294,용호동 197
295,거제동 714-144
296,돈암동 15-1
297,범일동 825-7
298,양평동5가 76
299,당감동 791
300,부전동 450
301,수서동 736
302,만덕동 925-1
303,낙민동 77-1
304,화명동 188
305,등촌동 715
306,길동 53
307,홍은동 455
308,화명동 512
309,부곡동 268-2
310,이문동 64
311,명일동 257
312,장림동 16
313,등촌동 695
314,신평동 425
315,금곡동 1885
316,구로동 1267
317,장전동 713
318,잠원동 73
319,현저동 200
320,전농동 6
321,목동 911
322,천연동 145
323,부곡동 962
324,구로동 256-1
325,우동 1104-1
326,동삼동 510-2
327,방화동 852
328,양정동 525
329,신정동 314
330,기장읍 청강리 18-2
331,신정동 1259
332,봉천동 1703
333,덕천동 132-65
334,가양동 1490
335,다대동 1548-13
336,정관읍 달산리 1199
337,상계동 637
338,광안동 529
339,재송동 1029
340,사직동 981-100
341,우동 1228
342,목동 912
343,가야동 588
344,우동 1100
345,가락동 95-1
346,만덕동 943-1
347,응봉동 15
348,당산동4가 30-1
349,문현동 395
350,고덕동 492
351,목동 904
352,명일동 332
353,모라동 1361
354,주례동 595
355,용당동 99-10
356,하계동 270
357,좌동 1282
358,신평동 408
359,신림동 1714
360,가산동 769
361,수유동 205
362,재송동 1030
363,부암동 725
364,재송동 380-1
365,월계동 929
366,대연동 245-23
367,독산동 1088
368,금호동3가 1331
369,범천동 879-2
370,덕포동 761-1
371,불광동 641
372,만덕동 774
373,모라동 75
374,좌동 1310
375,다대동 382-3
376,화명동 732
377,목동 903
378,만덕동 955
379,남가좌동 376
380,광장동 484
381,덕천동 357-1
382,문정동 1
383,화명동 2307
384,좌동 1414
385,장전동 717
386,등촌동 688
387,좌동 1333
388,아현동 777
389,공릉동 715
390,정관읍 모전리 723
391,신정동 1277
392,광안동 744-32
393,홍제동 82
394,좌동 1337
395,대연동 243-23
396,목동 902
397,마장동 818
398,잠원동 157
399,신림동 1730
400,신천동 17-6
401,당산동5가 42
402,다대동 113-11
403,좌동 1348
404,주례동 955-2
405,잠실동 101-1
406,방학동 720-1
407,온천동 161-1
408,사직동 597
409,창동 30
410,금호동4가 340
411,감만동 225-2
412,만덕동 953
413,재송동 1146-1
414,남천동 556-3
415,반여동 1302
416,광안동 99-5
417,제기동 1212
418,역삼동 757
419,답십리동 80
420,괘법동 516-3
421,부암동 63-3
422,학장동 573-1
423,중계동 360-15
424,하왕십리동 1061
425,전포동 362-62
426,다대동 113
427,우동 1408
428,금곡동 1110
429,길음동 1283
430,여의도동 50
431,범천동 944-1
432,문래동3가 54
433,길동 400
434,정관읍 모전리 776
435,신길동 897-1
436,신천동 20-4
437,안락동 1251
438,상계동 677
439,목동 956
440,영선동4가 186-46
441,신정동 337
442,개봉동 480
443,옥수동 561
444,화곡동 1145
445,망미동 1128
446,신당동 843
447,만덕동 927-1
448,도화동 357
449,가락동 96-1
450,정관읍 모전리 728
451,재송동 1026-1
452,홍제동 459
453,개금동 596
454,기장읍 서부리 402
455,반송동 872
456,부암동 48-3
457,신도림동 643
458,학장동 820-1
459,가락동 165
460,좌동 1321
461,개금동 1-12
462,학장동 571-3
463,용호동 776-12
464,서초동 1682
465,중계동 366
466,엄궁동 669-2
467,반포동 968
468,우동 974
469,대연동 93-3
470,엄궁동 680-2
471,방학동 734
472,월계동 320-11
473,창신동 703
474,중동 1360
475,좌동 1302
476,중계동 360-2
477,대연동 1858
478,독산동 711-2
479,신천동 11
480,신내동 816
481,옥수동 428
482,온천동 172-35
483,양평동3가 101
484,수색동 415-1
485,오금동 165
486,내발산동 753
487,개포동 140
488,전포동 892-21
489,창동 804
490,감천동 567
491,반포동 757
492,구로동 685-222
493,고덕동 499
494,대연동 245
495,정릉동 1021
496,신내동 783
497,당산동2가 16-1
498,흑석동 28
499,학장동 167-3
500,엄궁동 1
501,반여동 1641
502,다대동 94-5
503,둔촌동 630
504,신정동 1279
505,개금동 1-7
506,시흥동 1002-1
507,사당동 169-8
508,주례동 530-5
509,구서동 1006-2
510,좌동 1413
511,구로동 1278
512,묵동 20
513,안락동 962
514,미아동 813
515,대치동 1014-3
516,정릉동 1015
517,정관읍 용수리 1330
518,고척동 296
519,미아동 812
520,구로동 1259
521,신대방동 565
522,서초동 1335
523,서교동 490
524,하월곡동 226
525,구로동 685-223
526,산천동 193
527,기장읍 대라리 240
528,기장읍 서부리 101
529,모라동 203
530,반포동 60-4
531,부곡동 788
532,안락동 15-26
533,용호동 181-1
534,내발산동 749
535,동삼동 510-11
536,독산동 1093-4
537,좌동 1412
538,사직동 590-3
539,정릉동 1028
540,반송동 892
541,고덕동 486
542,개포동 138
543,상암동 1637
544,사당동 1133
545,대연동 252-1
546,우동 1388-4
547,등촌동 687
548,무악동 82
549,당감동 123
550,송파동 162
551,부곡동 958
552,전포동 683-11
553,반여동 585
554,만덕동 290-1
555,도화동 82
556,미아동 811
557,부전동 505-6
558,창동 316
559,일원동 719
560,부민동3가 76
561,상계동 721
562,자양동 227-7
563,좌천동 1168
564,오류동 338
565,주례동 595-4
566,대연동 74-2
567,신공덕동 155
568,남가좌동 385
569,길음동 1286
570,종암동 131
571,역삼동 755-4
572,종암동 133
573,수영동 541
574,복천동 500-1
575,부암동 720
576,도화동 353
577,신정동 1293
578,이촌동 402
579,삼선동2가 425
580,문현동 390-24
581,기장읍 청강리 144
582,응암동 759
583,당산동2가 164
584,반포동 30-26
585,내발산동 742
586,문현동 363-1
587,재송동 1051-2
588,북아현동 1009
589,민락동 110-8
590,신대방동 713
591,가양동 1460
592,문현동 73-1
593,온수동 155
594,광장동 218-1
595,사직동 10-2
596,감만동 73-212
597,신도림동 290
598,마장동 784
599,공릉동 707
600,덕천동 373-1
601,범천동 1057-2
602,상도동 533
603,정릉동 435
604,당산동 376
605,영천동 100
606,가양동 448-1
607,잠원동 58-16
608,화명동 749
609,공덕동 457
610,공덕동 464
611,장안동 329-2
612,용호동 537-13
613,창동 305
614,방이동 212-8
615,홍제동 463
616,개봉동 489
617,명지동 3230-11
618,망미동 693-1
619,연지동 353-1
620,중계동 362-1
621,용두동 779
622,하월곡동 228
623,좌동 1286
624,연지동 403
625,서초동 1312-3
626,미아동 1356
627,신당동 840
628,공릉동 737
629,구포동 1095-2
630,가야동 669-9
631,당감동 175-2
632,신길동 4934
633,좌동 1375
634,진관동 102
635,쌍문동 199-1
636,서초동 1593-7
637,일원동 711
638,도화동 555
639,월계동 12
640,중계동 364-12
641,정릉동 1020
642,화명동 898-2
643,정관읍 방곡리 385
644,대치동 670
645,광안동 526-1
646,노량진동 323
647,상봉동 484
648,좌동 1319
649,신림동 1644
650,상계동 1276
651,공릉동 109
652,화곡동 1165
653,모라동 1357
654,명지동 3234
655,용호동 179-4
656,공덕동 43
657,상계동 1282
658,풍납동 508
659,정관읍 매학리 723
660,청룡동 350
661,청량리동 60
662,명일동 270
663,시흥동 1011
664,기장읍 청강리 333
665,온천동 1654
666,시흥동 384-12
667,광장동 566
668,청학동 99-294
669,삼성동 16-2
670,좌동 1274
671,우암동 120-100
672,부암동 560-14
673,망미동 777
674,성수동1가 706
675,중계동 363-1
676,오금동 43
677,장지동 849
678,무악동 60
679,우동 938
680,창동 819
681,월계동 436
682,쌍문동 54
683,신도림동 645
684,전농동 690
685,정관읍 달산리 1207
686,중계동 445
687,잠원동 60-3
688,거제동 768-1
689,망미동 1154
690,청량리동 235-1
691,방화동 817
692,개봉동 470
693,낙민동 83-1
694,주례동 55-139
695,염창동 258-1
696,반포동 1-8
697,중동 899
698,만덕동 911-3
699,망미동 1136
700,연지동 406
701,등촌동 702
702,신내동 661
703,사당동 1139
704,시흥동 5-13
705,기장읍 교리 14-5
706,학장동 819
707,서초동 1333
708,대연동 1773-1
709,재송동 1182-1
710,번동 234
711,상일동 124
712,자양동 579
713,화명동 1426-1
714,송파동 243
715,본동 481
716,염창동 292
717,창전동 444
718,신대방동 707
719,하단동 277-2
720,신내동 817
721,홍제동 460
722,신내동 397
723,고척동 334
724,전포동 33-9
725,오류동 343
726,하월곡동 219
727,거여동 294
728,도곡동 963
729,구서동 563-40
730,구로동 685-70
731,도곡동 467
732,반여동 1411-10
733,한남동 810
734,낙민동 94-1
735,낙민동 172
736,불광동 633
737,반송동 886
738,시흥동 1026
739,부암동 731
740,우동 1434
741,연지동 23-17
742,거제동 1475
743,사직동 1020
744,대방동 503
745,신림동 1703-1
746,구서동 165-1
747,압구정동 490
748,대현동 144
749,수영동 432-1
750,행당동 344
751,창동 810
752,안락동 1229-2
753,불광동 643
754,중동 1519-1
755,성내동 194
756,응봉동 100
757,다대동 37
758,금호동2가 1217
759,길음동 1282
760,거여동 293
761,역삼동 754-1
762,창동 299
763,거제동 1467-1
764,응암동 761
765,서대신동3가 161-13
766,화명동 206
767,거제동 139-1
768,도화동 550
769,서빙고동 241-21
770,좌동 1328
771,흑석동 336
772,방배동 1344
773,용두동 792
774,학장동 574-111
775,중계동 588
776,상도동 415
777,답십리동 1003
778,낙민동 90-6
779,괴정동 213-6
780,당리동 16-7
781,신내동 479
782,우동 977
783,강일동 674
784,월계동 322-1
785,재송동 1151-2
786,양재동 154-2
787,신내동 618
788,답십리동 42
789,홍제동 461
790,풍납동 506
791,상봉동 63
792,대치동 888
793,화곡동 1139
794,하왕십리동 258
795,암사동 400
796,성산동 601
797,도곡동 91-5
798,연산동 129
799,부곡동 235-5
800,우동 1498
801,길음동 1276
802,연지동 50-6
803,대연동 245-137
804,풍납동 260
805,중계동 358-2
806,구로동 1263
807,영등포동7가 46-1
808,석관동 407
809,창신동 702
810,답십리동 990
811,홍제동 453
812,대연동 649
813,구서동 185-1
814,우동 1388-1
815,종암동 134
816,답십리동 10
817,풍납동 413-1
818,송파동 166
819,이촌동 412
820,이문동 311
821,방학동 507
822,재송동 1160-12
823,흑석동 339
824,홍제동 331
825,봉래동2가 112
826,신정동 1281
827,신내동 656
828,남가좌동 379
829,당리동 16-12
830,덕포동 789
831,하계동 288
832,정관읍 모전리 735
833,용호동 467
834,방화동 832
835,연산동 587-4
836,대림동 777-1
837,잠원동 70
838,신도림동 644
839,상계동 1110
840,범일동 62-720
841,청담동 134-15
842,괘법동 519-1
843,민락동 266
844,구로동 642-9
845,재송동 1041-3
846,대연동 282-1
847,우동 1102-221
848,문래동3가 94
849,낙민동 93-1
850,종암동 130
851,우암동 101-1
852,창전동 437
853,금곡동 56-1
854,좌동 1323
855,우동 945
856,수서동 747
857,신길동 4780
858,공덕동 371
859,자양동 783-1
860,신당동 851
861,상일동 490
862,상계동 1293
863,화명동 754
864,대치동 506
865,돈암동 1
866,역삼동 720-25
867,다대동 1552
868,중계동 515-2
869,반여동 1192-3
870,신정동 1296
871,답십리동 998
872,면목동 715
873,서교동 487
874,화명동 313
875,개포동 187
876,구서동 1059
877,고척동 339
878,장림동 372-4
879,신길동 4518
880,답십리동 1002
881,쌍문동 388-33
882,신길동 365
883,정릉동 1035
884,정관읍 용수리 1318
885,길동 474
886,이촌동 415
887,금곡동 97-10
888,돈암동 524
889,명장동 612-3
890,봉천동 1719
891,안암동1가 361
892,구평동 17
893,당감동 109-1
894,용호동 519-5
895,동삼동 510-33
896,등촌동 707
897,상암동 1660
898,불광동 635
899,대치동 974
900,신도림동 646
901,논현동 22
902,화명동 196
903,정릉동 1018
904,면목동 1077-1
905,대방동 508
906,진관동 20
907,장림동 599-27
908,개금동 53-1
909,온천동 397-6
910,문현동 2
911,신정동 743-2
912,장림동 426
913,등촌동 691-3
914,월계동 944
915,반포동 1-1
916,냉천동 261
917,용당동 599-1
918,당산동4가 88
919,월계동 924
920,신정동 30
921,묵동 387
922,응봉동 98
923,대연동 1375-2
924,연희동 740
925,영등포동8가 76-1
926,신길동 3002
927,양평동3가 90-1
928,온천동 1600
929,신당동 852
930,신내동 654
931,명륜동 756-1
932,진관동 140
933,주례동 939
934,연산동 862
935,금호동1가 1500
936,북가좌동 431
937,신림동 746-43
938,수서동 708
939,개봉동 492
940,흑석동 10
941,상일동 187
942,거제동 917-1
943,월계동 947
944,성수동2가 835
945,성수동2가 834
946,서초동 1445-4
947,창동 815
948,진관동 92
949,전포동 362-64
950,중계동 598
951,상계동 172
952,공덕동 469
953,거제동 898-1
954,하계동 251
955,미아동 474
956,동작동 333
957,광안동 473-2
958,부암동 9-3
959,광장동 554-7
960,당감동 128-2
961,가야동 668
962,천호동 217-132
963,압구정동 456
964,학장동 574-57
965,거제동 840
966,길음동 1280-1
967,온천동 1457-1
968,상일동 131
969,회기동 65
970,명일동 42
971,제기동 153
972,연산동 584-1
973,신림동 1735-1
974,상도동 535
975,재송동 1196
976,거제동 1029-2
977,청학동 489-30
978,청학동 536
979,연산동 1136-5
980,고척동 141-1
981,송파동 151
982,면목동 1502
983,장안동 354-2
984,좌동 1307
985,시흥동 109-1
986,대림동 762-1
987,구로동 1281
988,중동 398
989,상도동 527
990,다대동 948-1
991,장림동 566-7
992,개금동 1-9
993,장림동 532
994,상도동 421
995,정릉동 1031
996,구서동 420-12
997,망미동 941-1
998,삼성동 11
999,연산동 2235-4
1000,공릉동 714
1001,연산동 2022-587
1002,공릉동 108
1003,고덕동 312
1004,상계동 1285
1005,돈암동 631
1006,장전동 710
1007,독산동 1140
1008,신사동 140-1
1009,정관읍 모전리 759
1010,중계동 361-1
1011,봉천동 1707-1
1012,염리동 515-1
1013,상암동 1655
1014,감천동 789
1015,압구정동 397
1016,이촌동 301-160
1017,연산동 395
1018,신월동 1063
1019,강일동 673
1020,개금동 19-6
1021,연산동 1829-1
1022,개봉동 472
1023,쌍문동 59-5
1024,동삼동 656
1025,공릉동 747
1026,연지동 1
1027,휘경동 366
1028,역삼동 706-20
1029,등촌동 694
1030,기장읍 교리 2
1031,만덕동 658
1032,동삼동 510-37
1033,흑석동 328
1034,거제동 1503
1035,방배동 866-20
1036,잠실동 86
1037,월계동 780
1038,명지동 3236
1039,개금동 19-2
1040,상계동 1289
1041,도곡동 467-17
1042,여의도동 30-2
1043,학장동 168
1044,범일동 830-90
1045,서동 255
1046,명륜동 752
1047,상계동 135
1048,당리동 17-2
1049,토정동 138
1050,장위동 317
1051,양평동2가 23
1052,중동 1234-1
1053,만덕동 823-8
1054,염창동 300
1055,사직동 9
1056,홍은동 202-5
1057,염창동 288
1058,중동 1554
1059,염창동 299
1060,문현동 383-1
1061,망우동 580
1062,신림동 1693
1063,장지동 901
1064,연희동 739
1065,반여동 1477-1
1066,중계동 587
1067,전포동 876-4
1068,낙민동 92-9
1069,창전동 443
1070,압구정동 369-1
1071,엄궁동 35-1
1072,옥수동 4
1073,삼성동 50
1074,구로동 685-124
1075,명일동 54
1076,오류동 342
1077,홍제동 454
1078,중계동 580
1079,염리동 520
1080,기장읍 교리 268
1081,부암동 730
1082,사직동 1019
1083,중림동 200
1084,신계동 48
1085,가락동 21-6
1086,중계동 593
1087,구산동 224
1088,도봉동 655
1089,남천동 490
1090,화곡동 351-89
1091,상계동 451
1092,안락동 1240
1093,하계동 280
1094,구로동 1256
1095,방학동 531
1096,응암동 760
1097,하단동 717-1
1098,방화동 841
1099,서대신동3가 694-1
1100,풍납동 261
1101,상봉동 497
1102,구로동 1280
1103,진관동 107
1104,연산동 578-1
1105,주례동 316
1106,정릉동 1014
1107,답십리동 989-1
1108,장림동 185-1
1109,감천동 808
1110,모라동 334
1111,우동 1527
1112,서초동 1687
1113,반송동 888
1114,봉천동 1698-1
1115,신대방동 720
1116,망미동 979-72
1117,면목동 1522
1118,문현동 366-18
1119,주례동 3-32
1120,상봉동 499
1121,가야동 698
1122,우동 887-1
1123,구평동 41-7
1124,연남동 573
1125,반여동 586-2
1126,중동 1763
1127,상일동 476
1128,안락동 15-3
1129,본동 492
1130,일원동 734
1131,거제동 1466-17
1132,수유동 553-61
1133,광장동 576
1134,정릉동 210
1135,묵동 385
1136,강일동 670
1137,창신동 232
1138,당산동5가 12
1139,다대동 1667
1140,중동 392
1141,신정동 1283
1142,창전동 439
1143,초량동 1155
1144,방학동 508
1145,일원동 615
1146,명장동 63-9
1147,가양동 1500
1148,신공덕동 159
1149,다대동 1552-19
1150,반송동 887
1151,만덕동 670
1152,중계동 583
1153,현석동 222
1154,진관동 25
1155,중계동 364
1156,용호동 563-1
1157,문래동6가 45
1158,고척동 57-9
1159,둔촌동 546
1160,신정동 1276
1161,주례동 1010-3
1162,거제동 1506
1163,장림동 2
1164,방학동 274
1165,용호동 976
1166,좌동 1374
1167,송파동 119
1168,홍은동 454
1169,남부민동 523-1
1170,길음동 1285
1171,응봉동 97
1172,기장읍 대라리 925
1173,문정동 72-3
1174,방학동 275
1175,구로동 560
1176,신길동 4656
1177,우동 333
1178,다대동 820-1
1179,한남동 72-1
1180,방배동 906-13
1181,덕포동 58
1182,월계동 781
1183,공릉동 106
1184,감만동 31-3
1185,염리동 521
1186,흑석동 335
1187,괴정동 547-1
1188,대림동 607-1
1189,범일동 830-296
1190,서초동 1685-3
1191,신평동 206-1
1192,돈암동 633
1193,양평동1가 20
1194,안락동 598
1195,덕포동 49
1196,전포동 326
1197,사당동 1132
1198,개금동 796
1199,구포동 923-119
1200,진관동 88
1201,신사동 359
1202,장지동 847
1203,응암동 176
1204,거제동 1288-3
1205,연산동 30-1
1206,화명동 1258-1
1207,금호동4가 235
1208,오금동 2
1209,당산동4가 94-1
1210,반포동 60-5
1211,신공덕동 172
1212,쌍문동 53
1213,금곡동 97-11
1214,용호동 522-2
1215,정릉동 494
1216,좌동 1445
1217,온천동 456-29
1218,대방동 502
1219,강일동 686
1220,용강동 380
1221,방화동 831
1222,남산동 115-30
1223,잠실동 320
1224,전포동 9
1225,염창동 281-22
1226,내곡동 BL-1
1227,신대방동 719
1228,덕포동 386-3
1229,명륜동 757
1230,정릉동 406
1231,잠실동 40
1232,기장읍 교리 65
1233,상계동 1279
1234,거제동 1272
1235,마장동 817
1236,송정동 90
1237,동소문동7가 23
1238,구로동 1269
1239,하왕십리동 1052
1240,본동 494
1241,목동 709-2
1242,전농동 688
1243,도봉동 87
1244,가야동 361-85
1245,청학동 69-83
1246,용두동 790
1247,온천동 758-12
1248,역삼동 713-11
1249,숭인동 2-1
1250,신림동 1727
1251,신공덕동 161
1252,명일동 44
1253,가락동 176
1254,신당동 850
1255,만덕동 670-1
1256,영등포동8가 91
1257,잠원동 64-8
1258,돈암동 632
1259,진관동 154
1260,상도동 450
1261,성수동1가 710
1262,대림동 785-1
1263,거여동 362
1264,잠원동 56-3
1265,명일동 56
1266,응봉동 276
1267,상계동 766-1
1268,대치동 503
1269,서초동 1315
1270,화명동 310
1271,풍납동 391
1272,옥수동 220-1
1273,이문동 54
1274,낙민동 91-2
1275,가락동 138
1276,대평동1가 1
1277,고척동 337
1278,보문동3가 2
1279,공릉동 745
1280,수유동 730
1281,풍납동 509
1282,부암동 55-6
1283,다대동 1670
1284,부곡동 224-1
1285,둔촌동 30-4
1286,등촌동 638
1287,수안동 6-1
1288,사당동 1154
1289,신사동 355
1290,마곡동 429
1291,창동 300
1292,다대동 80-14
1293,창동 26
1294,신정동 1311
1295,덕포동 386-1
1296,양정동 273-1
1297,반여동 1291-1460
1298,학장동 210-1
1299,구로동 104-9
1300,돈암동 642
1301,문현동 374-1
1302,대연동 255-1
1303,당산동5가 4-13
1304,구로동 1260
1305,월계동 923
1306,상도동 408
1307,용호동 776-3
1308,당산동1가 16-1
1309,천호동 19-1
1310,감천동 803-42
1311,동삼동 510-27
1312,옥수동 436
1313,신정동 1278
1314,철마면 고촌리 684
1315,쌍문동 725
1316,신월동 350-2
1317,서초동 1330
1318,괘법동 516-1
1319,거제동 1465-3
1320,우동 1488
1321,중계동 360-16
1322,장전동 732
1323,북가좌동 449
1324,가락동 70-19
1325,신대방동 711
1326,방배동 1008-2
1327,고덕동 688
1328,용호동 536-18
1329,양평동2가 38-1
1330,공릉동 111
1331,명장동 24-1
1332,공덕동 188-108
1333,옥수동 100
1334,자양동 516
1335,연산동 983-9
1336,대연동 1272-2
1337,상봉동 81-5
1338,역촌동 232
1339,신내동 795
1340,쌍문동 59-3
1341,염창동 289
1342,삼락동 418-8
1343,답십리동 41
1344,도곡동 464
1345,민락동 113-23
1346,홍은동 453-2
1347,신내동 591
1348,방학동 720-18
1349,신대방동 712
1350,하왕십리동 1058
1351,일원동 718
1352,신천동 11-9
1353,하계동 256-5
1354,논현동 58-2
1355,목동 961
1356,진관동 19
1357,기장읍 대라리 251
1358,초읍동 508
1359,장림동 321-28
1360,논현동 105
1361,압구정동 434
1362,등촌동 634-2
1363,창동 805
1364,장림동 566-12
1365,덕천동 406
1366,공릉동 743
1367,답십리동 1000
1368,거제동 1510
1369,대연동 1170-2
1370,내발산동 741
1371,남산동 127-3
1372,강일동 701
1373,전포동 880-1
1374,전포동 890-1
1375,증산동 244
1376,방배동 770-1
1377,도봉동 654
1378,중계동 161-1
1379,강일동 684
1380,원효로1가 41
1381,구로동 74-30
1382,암사동 508
1383,대방동 500
1384,서초동 1336
1385,개금동 197-5
1386,녹번동 280-1
1387,가양동 1495
1388,진관동 2
1389,거제동 36-8
1390,상도동 407
1391,풍납동 401-1
1392,자곡동 BL-4
1393,상봉동 495
1394,상계동 463
1395,상계동 1078
1396,진관동 84
1397,광안동 1254
1398,일원동 731
1399,온천동 423-2
1400,학장동 173-16
1401,괴정동 740
1402,좌동 1273
1403,방배동 2626
1404,고척동 326
1405,삼성동 19-4
1406,구산동 382
1407,오류동 340
1408,암남동 595
1409,암사동 442-1
1410,거제동 150-8
1411,좌동 1271
1412,삼선동4가 73
1413,하왕십리동 1066
1414,우암동 53-1
1415,연산동 2298
1416,상계동 1063
1417,응봉동 275
1418,삼선동2가 420
1419,만덕동 831-15
1420,신평동 100
1421,상도동 418
1422,부암동 304-1
1423,덕포동 762
1424,엄궁동 225-1
1425,잠원동 55-12
1426,개금동 629-1
1427,석관동 405
1428,상암동 1658
1429,염창동 240-32
1430,이촌동 430
1431,금호동3가 917
1432,기장읍 동부리 333
1433,풍납동 388-7
1434,구로동 501
1435,상왕십리동 811
1436,상계동 458
1437,도곡동 467-6
1438,등촌동 701
1439,잠원동 50-1
1440,신림동 1695
1441,상봉동 500
1442,익선동 55
1443,이문동 45
1444,반여동 1063-2
1445,노고산동 1-3
1446,행당동 376
1447,장림동 60-20
1448,염창동 244-2
1449,신평동 437
1450,자양동 520-2
1451,신도림동 647
1452,만덕동 761-1
1453,도곡동 967
1454,둔촌동 555
1455,전농동 155
1456,상봉동 1
1457,화명동 752
1458,좌동 1492
